                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.4649,                0.99622,                0.96007,                0.76784,                0.63778,                 0.7113,                0.42016,                 1.3451,                 1.0241,                0.93074,               0.001981,               0.001981,               0.001981
                     83,                 1.4618,                 1.0035,                0.96072,                0.61803,                0.70862,                0.71472,                0.42778,                 1.3525,                 1.0301,                0.93714,               0.001882,               0.001882,               0.001882
                     84,                 1.4602,                0.99128,                0.95636,                0.70626,                0.65956,                0.69666,                0.41977,                  1.309,                0.99694,                0.92828,               0.001783,               0.001783,               0.001783
                     85,                 1.4392,                0.97103,                0.95417,                0.66957,                0.68693,                0.70652,                0.42414,                 1.3547,                0.99469,                0.93471,               0.001684,               0.001684,               0.001684
                     86,                 1.4681,                0.99277,                0.95063,                 0.6957,                0.65682,                0.71489,                0.41281,                 1.3718,                  1.009,                0.93482,               0.001585,               0.001585,               0.001585
                     87,                 1.4429,                0.97256,                0.95843,                0.70006,                  0.669,                0.73636,                0.41334,                 1.3878,                 1.0286,                0.93504,               0.001486,               0.001486,               0.001486
                     88,                 1.4539,                0.99609,                0.96655,                0.69261,                0.62996,                 0.7027,                0.41413,                 1.3235,                0.99772,                0.93015,               0.001387,               0.001387,               0.001387
                     89,                 1.4766,                0.99953,                0.96387,                0.63207,                0.72177,                 0.7129,                0.41531,                 1.3736,                 1.0187,                0.94067,               0.001288,               0.001288,               0.001288
                     90,                 1.4345,                 0.9795,                0.97608,                0.63929,                0.68427,                 0.6779,                0.40635,                 1.3165,                 1.0163,                 0.9251,               0.001189,               0.001189,               0.001189
                     91,                 1.4151,                0.96222,                0.97211,                0.67748,                0.72821,                0.72353,                0.42935,                 1.2893,                0.98049,                0.92446,                0.00109,                0.00109,                0.00109
                     92,                 1.4094,                0.94736,                 0.9627,                0.72409,                 0.6376,                0.71262,                 0.4218,                  1.385,                 1.0017,                0.93786,               0.000991,               0.000991,               0.000991
                     93,                 1.3915,                0.92557,                0.97326,                 0.7028,                0.65279,                0.70628,                0.40072,                 1.4398,                 1.0211,                0.94834,               0.000892,               0.000892,               0.000892
                     94,                 1.4164,                0.94046,                0.97348,                0.69587,                0.68948,                0.71556,                0.40966,                  1.431,                 1.0073,                0.94386,               0.000793,               0.000793,               0.000793
                     95,                 1.3985,                0.92885,                0.97063,                0.70186,                0.73125,                0.74114,                0.42274,                 1.3988,                0.99884,                0.93888,               0.000694,               0.000694,               0.000694
                     96,                 1.4131,                0.92805,                0.97173,                0.79821,                0.65506,                0.72448,                0.43949,                 1.3262,                0.97892,                0.93061,               0.000595,               0.000595,               0.000595
                     97,                 1.3922,                0.92363,                0.96356,                0.66698,                0.72456,                0.73047,                 0.4366,                 1.3377,                0.97177,                0.92751,               0.000496,               0.000496,               0.000496
                     98,                 1.4033,                0.91648,                0.96816,                0.73505,                0.64683,                0.71744,                0.43475,                 1.3475,                0.98831,                0.93005,               0.000397,               0.000397,               0.000397
                     99,                 1.3783,                 0.9236,                0.96077,                 0.6715,                0.70302,                0.71594,                0.43155,                 1.3464,                0.98504,                0.92988,               0.000298,               0.000298,               0.000298
