0a + 5b + 4c + 4d = weight 4041.85, charge 4, weight/charge 1010.4372390690235
0a + 5b + 4c + 5d = weight 4190.92, charge 3, weight/charge 1396.9267691076964
0a + 5b + 5c + 0d = weight 3511.05, charge 10, weight/charge 351.10148898511017
0a + 5b + 5c + 1d = weight 3660.12, charge 9, weight/charge 406.6754813835402
0a + 5b + 5c + 2d = weight 3809.19, charge 8, weight/charge 476.1427982150223
0a + 5b + 5c + 3d = weight 3958.26, charge 7, weight/charge 565.4576363194813
0a + 5b + 5c + 4d = weight 4107.33, charge 6, weight/charge 684.543590940151
0a + 5b + 5c + 5d = weight 4256.40, charge 5, weight/charge 851.2629747405051
1a + 0b + 0c + 0d = weight 678.69, charge 0, weight/charge 6786900.0
1a + 0b + 0c + 1d = weight 827.76, charge -1, weight/charge -827.8427842784279
1a + 0b + 0c + 2d = weight 976.83, charge -2, weight/charge -488.43942197109857
1a + 0b + 0c + 3d = weight 1125.90, charge -3, weight/charge -375.312510417014
1a + 0b + 0c + 4d = weight 1274.97, charge -4, weight/charge -318.75046876171905
1a + 0b + 0c + 5d = weight 1424.04, charge -5, weight/charge -284.8136962739255
1a + 0b + 1c + 0d = weight 744.17, charge 2, weight/charge 372.066396680166
1a + 0b + 1c + 1d = weight 893.24, charge 1, weight/charge 893.1506849315068
1a + 0b + 1c + 2d = weight 1042.31, charge 0, weight/charge 10423099.999999998
1a + 0b + 1c + 3d = weight 1191.38, charge -1, weight/charge -1191.4991499149917
1a + 0b + 1c + 4d = weight 1340.45, charge -2, weight/charge -670.2585129256463
1a + 0b + 1c + 5d = weight 1489.52, charge -3, weight/charge -496.5232174405814
1a + 0b + 2c + 0d = weight 809.65, charge 4, weight/charge 202.40743981400468
1a + 0b + 2c + 1d = weight 958.72, charge 3, weight/charge 319.56268124395854
1a + 0b + 2c + 2d = weight 1107.79, charge 2, weight/charge 553.8673066346682
1a + 0b + 2c + 3d = weight 1256.86, charge 1, weight/charge 1256.7343265673435
1a + 0b + 2c + 4d = weight 1405.93, charge 0, weight/charge 14059300.0
1a + 0b + 2c + 5d = weight 1555.00, charge -1, weight/charge -1555.155515551555
1a + 0b + 3c + 0d = weight 875.13, charge 6, weight/charge 145.85256912384796
1a + 0b + 3c + 1d = weight 1024.20, charge 5, weight/charge 204.83590328193438
1a + 0b + 3c + 2d = weight 1173.27, charge 4, weight/charge 293.3101672458189
1a + 0b + 3c + 3d = weight 1322.34, charge 3, weight/charge 440.7653078230726
1a + 0b + 3c + 4d = weight 1471.41, charge 2, weight/charge 735.6682165891705
1a + 0b + 3c + 5d = weight 1620.48, charge 1, weight/charge 1620.3179682031798
1a + 0b + 4c + 0d = weight 940.61, charge 8, weight/charge 117.57478031524607
1a + 0b + 4c + 1d = weight 1089.68, charge 7, weight/charge 155.6663476236054
1a + 0b + 4c + 2d = weight 1238.75, charge 6, weight/charge 206.4548924184597
1a + 0b + 4c + 3d = weight 1387.82, charge 5, weight/charge 277.55844883102344
1a + 0b + 4c + 4d = weight 1536.89, charge 4, weight/charge 384.21289467763313
1a + 0b + 4c + 5d = weight 1685.96, charge 3, weight/charge 561.9679344021865
1a + 0b + 5c + 0d = weight 1006.09, charge 10, weight/charge 100.60799392006082
1a + 0b + 5c + 1d = weight 1155.16, charge 9, weight/charge 128.34968500349999
1a + 0b + 5c + 2d = weight 1304.23, charge 8, weight/charge 163.02671216609792
1a + 0b + 5c + 3d = weight 1453.30, charge 7, weight/charge 207.61131983828807
1a + 0b + 5c + 4d = weight 1602.37, charge 6, weight/charge 267.05721571307146
1a + 0b + 5c + 5d = weight 1751.44, charge 5, weight/charge 350.2809943801124
1a + 1b + 0c + 0d = weight 1315.42, charge 0, weight/charge 13154200.0
1a + 1b + 0c + 1d = weight 1464.49, charge -1, weight/charge -1464.6364636463645
1a + 1b + 0c + 2d = weight 1613.56, charge -2, weight/charge -806.8203410170509
1a + 1b + 0c + 3d = weight 1762.63, charge -3, weight/charge -587.5629187639589
1a + 1b + 0c + 4d = weight 1911.70, charge -4, weight/charge -477.93694842371065
1a + 1b + 0c + 5d = weight 2060.77, charge -5, weight/charge -412.1622432448649
1a + 1b + 1c + 0d = weight 1380.90, charge 2, weight/charge 690.4154792260387
1a + 1b + 1c + 1d = weight 1529.97, charge 1, weight/charge 1529.8170182981703
1a + 1b + 1c + 2d = weight 1679.04, charge 0, weight/charge 16790400.0
1a + 1b + 1c + 3d = weight 1828.11, charge -1, weight/charge -1828.2928292829283
1a + 1b + 1c + 4d = weight 1977.18, charge -2, weight/charge -988.6394319715986
1a + 1b + 1c + 5d = weight 2126.25, charge -3, weight/charge -708.7736257875263
1a + 1b + 2c + 0d = weight 1446.38, charge 4, weight/charge 361.5859603509913
1a + 1b + 2c + 1d = weight 1595.45, charge 3, weight/charge 531.7989400353322
1a + 1b + 2c + 2d = weight 1744.52, charge 2, weight/charge 872.2163891805409
1a + 1b + 2c + 3d = weight 1893.59, charge 1, weight/charge 1893.4006599340069
1a + 1b + 2c + 4d = weight 2042.66, charge 0, weight/charge 20426600.0
1a + 1b + 2c + 5d = weight 2191.73, charge -1, weight/charge -2191.949194919492
1a + 1b + 3c + 0d = weight 1511.86, charge 6, weight/charge 251.97246712554795
1a + 1b + 3c + 1d = weight 1660.93, charge 5, weight/charge 332.17935641287175
1a + 1b + 3c + 2d = weight 1810.00, charge 4, weight/charge 452.48868778280547
1a + 1b + 3c + 3d = weight 1959.07, charge 3, weight/charge 653.0015666144462
1a + 1b + 3c + 4d = weight 2108.14, charge 2, weight/charge 1054.0172991350432
1a + 1b + 3c + 5d = weight 2257.21, charge 1, weight/charge 2256.984301569843
1a + 1b + 4c + 0d = weight 1577.34, charge 8, weight/charge 197.16503543705707
1a + 1b + 4c + 1d = weight 1726.41, charge 7, weight/charge 246.62647676461768
1a + 1b + 4c + 2d = weight 1875.48, charge 6, weight/charge 312.5747904201597
1a + 1b + 4c + 3d = weight 2024.55, charge 5, weight/charge 404.9019019619608
1a + 1b + 4c + 4d = weight 2173.62, charge 4, weight/charge 543.3914152146197
1a + 1b + 4c + 5d = weight 2322.69, charge 3, weight/charge 774.2041931935602
1a + 1b + 5c + 0d = weight 1642.82, charge 10, weight/charge 164.28035719642804
1a + 1b + 5c + 1d = weight 1791.89, charge 9, weight/charge 199.0966767035922
